Developer,Project,"First Quarter","Last Quarter","Total Quarters Active",Contributions
"Tamas Bela Feher",grimoirelab,"October 1st 2019","July 1st 2022",12,189
"Pete Warden",grimoirelab,"April 1st 2018","July 1st 2021",17,188
"Rachel Lim",grimoirelab,"April 1st 2018","July 1st 2020",11,185
"HanBin Yoon",grimoirelab,"July 1st 2020","July 1st 2022",8,179
"Peng Wang",grimoirelab,"January 1st 2019","January 1st 2023",17,178
"Shanqing Cai",grimoirelab,"April 1st 2018","April 1st 2021",12,178
"Ayush Dubey",grimoirelab,"April 1st 2018","January 1st 2021",12,176
"Yanan Cao",grimoirelab,"April 1st 2018","January 1st 2020",8,174
"Billy Lamberta",grimoirelab,"April 1st 2018","October 1st 2021",13,170
"Eugene Brevdo",grimoirelab,"April 1st 2018","October 1st 2021",15,169
"Michael Gester",grimoirelab,"January 1st 2020","January 1st 2023",13,168
"Suharsh Sivakumar",grimoirelab,"April 1st 2018","July 1st 2020",11,167
"Jun Xu",grimoirelab,"January 1st 2021","January 1st 2023",9,162
"Kibeom Kim",grimoirelab,"July 1st 2019","October 1st 2021",10,161
"TensorFlow Release Automation",grimoirelab,"April 1st 2019","January 1st 2023",16,159
"Meghna Natraj",grimoirelab,"October 1st 2019","July 1st 2022",12,158
"Koan-Sin Tan",grimoirelab,"April 1st 2018","October 1st 2022",18,157
"Johannes Reifferscheid",grimoirelab,"July 1st 2022","January 1st 2023",3,155
"Isha Arkatkar",grimoirelab,"January 1st 2021","January 1st 2023",7,152
"Anjali Sridhar",grimoirelab,"April 1st 2018","October 1st 2020",11,150
"Jiho Choi",grimoirelab,"January 1st 2020","April 1st 2021",6,148
"David Dunleavy",grimoirelab,"July 1st 2022","January 1st 2023",3,147
"Tong Shen",grimoirelab,"July 1st 2018","January 1st 2020",7,147
"Daniel Nguyen",grimoirelab,"April 1st 2020","July 1st 2020",2,146
"Jay Shi",grimoirelab,"April 1st 2020","October 1st 2021",7,145
"Trent Lo",grimoirelab,"April 1st 2019","July 1st 2021",10,145
"Yanhui Liang",grimoirelab,"October 1st 2018","January 1st 2021",10,144
"Yujing Zhang",grimoirelab,"July 1st 2019","January 1st 2022",10,144
"MLIR Team",grimoirelab,"April 1st 2018","October 1st 2019",7,143
"Tomer Kaftan",grimoirelab,"July 1st 2019","October 1st 2021",9,143
"Sagun Bajra",grimoirelab,"July 1st 2021","January 1st 2023",7,142
"Bruce Fontaine",grimoirelab,"January 1st 2019","January 1st 2023",17,140
"Geoffrey Martin-Noble",grimoirelab,"January 1st 2019","January 1st 2022",13,140
"Marcello Maggioni",grimoirelab,"April 1st 2020","January 1st 2023",11,134
"Eugene Burmako",grimoirelab,"July 1st 2019","January 1st 2023",8,133
"Sundeep Gottipati",grimoirelab,"April 1st 2019","July 1st 2019",4,133
"Tom Hennigan",grimoirelab,"April 1st 2018","January 1st 2023",20,133
"Priya Gupta",grimoirelab,"April 1st 2018","October 1st 2020",9,132
"Nick Kreeger",grimoirelab,"July 1st 2018","April 1st 2021",11,131
"Chuanhao Zhuge",grimoirelab,"July 1st 2020","January 1st 2023",10,130
"Igor Ganichev",grimoirelab,"April 1st 2018","January 1st 2020",8,130
"Måns Nilsson",grimoirelab,"January 1st 2020","October 1st 2021",7,130
"Revan Sopher",grimoirelab,"July 1st 2018","January 1st 2021",12,130
"Asim Shankar",grimoirelab,"April 1st 2018","January 1st 2019",6,129
"Monica Song",grimoirelab,"October 1st 2020","January 1st 2023",10,128
"Pooya Davoodi",grimoirelab,"October 1st 2018","January 1st 2020",6,128
"Roman Dzhabarov",grimoirelab,"October 1st 2020","January 1st 2023",9,128
"Thibaut Goetghebuer-Planchon",grimoirelab,"July 1st 2020","January 1st 2023",11,127
"Tiezhen WANG",grimoirelab,"July 1st 2018","April 1st 2021",12,127
nammbash,grimoirelab,"October 1st 2018","July 1st 2021",10,125
"Ashutosh Hathidara",grimoirelab,"January 1st 2020","April 1st 2021",3,123
"Juhyun Lee",grimoirelab,"January 1st 2019","October 1st 2022",15,123
"Shashi Shekhar",grimoirelab,"April 1st 2018","January 1st 2019",4,123
"Amit Srivastava",grimoirelab,"January 1st 2019","July 1st 2019",3,121
"Dan Suh",grimoirelab,"April 1st 2022","January 1st 2023",4,121
"Patrice Vignola",grimoirelab,"April 1st 2021","October 1st 2022",7,120
"Robert Suderman",grimoirelab,"October 1st 2019","January 1st 2023",13,119
"tg-at-google",grimoirelab,"April 1st 2020","July 1st 2020",2,116
"Wen-Heng (Jack) Chung",grimoirelab,"April 1st 2018","October 1st 2019",7,115
"Sami Kama",grimoirelab,"April 1st 2018","January 1st 2021",9,114
kushanam,grimoirelab,"April 1st 2020","July 1st 2022",8,114
"Matt Callanan",grimoirelab,"January 1st 2022","January 1st 2023",5,113
"Wilsin Gosti",grimoirelab,"October 1st 2021","January 1st 2023",6,113
"Xinyi Wang",grimoirelab,"April 1st 2020","January 1st 2023",12,112
"Sourabh Bajaj",grimoirelab,"April 1st 2018","April 1st 2019",5,111
"T.J. Alumbaugh",grimoirelab,"July 1st 2019","April 1st 2021",8,111
mdfaijul,grimoirelab,"October 1st 2018","January 1st 2023",17,110
"Chenkai Kuang",grimoirelab,"January 1st 2020","July 1st 2021",7,108
"Katherine Tian",grimoirelab,"April 1st 2020","July 1st 2020",2,108
"Yair Ehrenwald",grimoirelab,"April 1st 2020","January 1st 2021",4,108
"Yunlu Li",grimoirelab,"July 1st 2018","July 1st 2021",12,108
gracehoney,grimoirelab,"April 1st 2018","July 1st 2018",2,108
"Alex Stark",grimoirelab,"July 1st 2019","January 1st 2021",6,107
"Tzu-Wei Sung",grimoirelab,"July 1st 2020","January 1st 2021",3,107
"Duncan Riach",grimoirelab,"October 1st 2018","April 1st 2022",15,105
"Henry Tan",grimoirelab,"January 1st 2019","October 1st 2020",7,105
"Nathan Luehr",grimoirelab,"July 1st 2018","January 1st 2023",14,104
"Thomas Joerg",grimoirelab,"April 1st 2018","January 1st 2023",14,104
amturati,grimoirelab,"April 1st 2020","July 1st 2020",3,104
"Alan Liu",grimoirelab,"January 1st 2022","October 1st 2022",6,103
wenxizhu,grimoirelab,"October 1st 2018","July 1st 2019",4,102
"Dimitris Vardoulakis",grimoirelab,"April 1st 2018","October 1st 2022",18,101
"Michael Kuperstein",grimoirelab,"April 1st 2018","January 1st 2023",6,100
"Shivani Agrawal",grimoirelab,"April 1st 2018","July 1st 2021",8,100
"Niranjan Hasabnis",grimoirelab,"April 1st 2018","July 1st 2020",10,99
"AG Ramesh",grimoirelab,"April 1st 2018","January 1st 2021",8,98
"Anish Tondwalkar",grimoirelab,"April 1st 2021","January 1st 2023",8,97
"Emilio Cota",grimoirelab,"October 1st 2021","January 1st 2023",6,97
"Sean Silva",grimoirelab,"April 1st 2018","October 1st 2021",10,97
"Geeta Chavan",grimoirelab,"October 1st 2019","July 1st 2021",8,96
"Qiao Zhang",grimoirelab,"April 1st 2020","January 1st 2023",11,96
"Guozhong Zhuang",grimoirelab,"April 1st 2018","January 1st 2022",16,94
"Edward Schwartz",grimoirelab,"July 1st 2021","January 1st 2023",7,93
"Vinila S",grimoirelab,"July 1st 2022","January 1st 2023",3,93
"ddavis-2015",grimoirelab,"October 1st 2020","April 1st 2021",4,93
"Michael Delorimier",grimoirelab,"October 1st 2020","January 1st 2023",10,91
Siju,grimoirelab,"October 1st 2018","July 1st 2019",5,91
"Weiyi Wang",grimoirelab,"October 1st 2021","January 1st 2023",6,91
"Todd Wang",grimoirelab,"July 1st 2018","October 1st 2018",3,90
"Alan Kelly",grimoirelab,"October 1st 2021","January 1st 2023",6,89
"Yasuhiro Matsumoto",grimoirelab,"January 1st 2019","January 1st 2022",8,89
"Pankaj Kanwar",grimoirelab,"July 1st 2020","January 1st 2023",9,88
"Jason Zaman",grimoirelab,"April 1st 2018","October 1st 2021",12,87
"Nick Felt",grimoirelab,"April 1st 2018","October 1st 2022",21,87
"Parker Schuh",grimoirelab,"October 1st 2019","January 1st 2023",8,85
"Anlun Xu",grimoirelab,"July 1st 2022","January 1st 2023",3,84
"Matt Watson",grimoirelab,"January 1st 2021","July 1st 2022",8,82
"Tianrun Li",grimoirelab,"October 1st 2020","October 1st 2022",9,82
"Yi Situ",grimoirelab,"January 1st 2020","April 1st 2021",6,82
"Abolfazl Shahbazi",grimoirelab,"January 1st 2019","April 1st 2022",11,81
"Ce Zheng",grimoirelab,"April 1st 2020","January 1st 2023",12,80
"Changhui Lin",grimoirelab,"July 1st 2021","October 1st 2022",6,80
"Clayne Robison",grimoirelab,"April 1st 2018","January 1st 2020",8,80
"ANSHUMAN TRIPATHY",grimoirelab,"January 1st 2019","July 1st 2020",8,79
"Mahesh Ravishankar",grimoirelab,"April 1st 2019","October 1st 2021",8,79
"Lu Wang",grimoirelab,"January 1st 2019","April 1st 2022",13,78
"YoungSeok Yoon",grimoirelab,"July 1st 2019","January 1st 2022",11,78
"Dero Gharibian",grimoirelab,"January 1st 2019","April 1st 2021",8,76
"James Ring",grimoirelab,"October 1st 2018","October 1st 2019",6,76
"Chen Qian",grimoirelab,"January 1st 2021","October 1st 2022",8,75
"David Rim",grimoirelab,"October 1st 2019","January 1st 2023",13,75
"Jens Elofsson",grimoirelab,"January 1st 2019","January 1st 2021",10,75
"Philipp Hack",grimoirelab,"April 1st 2021","January 1st 2023",8,75
"Chia-hung Duan",grimoirelab,"October 1st 2021","April 1st 2022",3,73
"Jeremy Lau",grimoirelab,"April 1st 2018","January 1st 2021",13,73
"Li, Guizi",grimoirelab,"July 1st 2018","April 1st 2020",8,73
"Mark Heffernan",grimoirelab,"April 1st 2018","January 1st 2019",4,73
"Matthias Kramm",grimoirelab,"July 1st 2021","January 1st 2023",7,73
"Juanli Shen",grimoirelab,"January 1st 2021","January 1st 2023",9,72
"Stella Laurenzo",grimoirelab,"January 1st 2019","July 1st 2022",13,72
"Vishnuvardhan Janapati",grimoirelab,"April 1st 2019","January 1st 2022",8,72
"Zhoulong Jiang",grimoirelab,"July 1st 2020","January 1st 2023",6,72
"Jing Pu",grimoirelab,"April 1st 2019","April 1st 2022",11,71
"Songyi Han",grimoirelab,"October 1st 2021","January 1st 2023",6,71
rsun,grimoirelab,"October 1st 2020","April 1st 2021",3,71
"James Keeling",grimoirelab,"April 1st 2018","October 1st 2022",9,69
"Brennan Saeta",grimoirelab,"April 1st 2018","April 1st 2019",6,68
"Juan Martinez Castellanos",grimoirelab,"July 1st 2022","January 1st 2023",3,68
"Nitin Srinivasan",grimoirelab,"October 1st 2021","January 1st 2023",6,68
"Yishuang Pang",grimoirelab,"April 1st 2022","January 1st 2023",4,67
jerryyin,grimoirelab,"January 1st 2019","July 1st 2020",7,67
"Brian Patton",grimoirelab,"April 1st 2018","April 1st 2021",11,66
"Ilia Sergachev",grimoirelab,"July 1st 2022","January 1st 2023",3,66
"Bhavani Subramanian",grimoirelab,"October 1st 2018","July 1st 2022",5,65
"Patrik Laurell",grimoirelab,"April 1st 2020","April 1st 2021",5,65
"Srinivas Vasudevan",grimoirelab,"July 1st 2019","October 1st 2022",13,65
azazhu,grimoirelab,"April 1st 2021","July 1st 2021",2,65
"Ashwin Murthy",grimoirelab,"April 1st 2019","April 1st 2020",5,63
"Lucy Fox",grimoirelab,"October 1st 2019","October 1st 2020",5,63
zilinzhu,grimoirelab,"January 1st 2020","January 1st 2021",4,63
"Anudhyan Boral",grimoirelab,"October 1st 2018","July 1st 2021",9,62
"Oleg Shyshkov",grimoirelab,"July 1st 2022","January 1st 2023",3,62
geetachavan1,grimoirelab,"October 1st 2019","July 1st 2021",6,61
"Aart Bik",grimoirelab,"October 1st 2019","January 1st 2023",9,60
"Hanhan Wang",grimoirelab,"October 1st 2019","July 1st 2022",8,60
"HyoukJoong Lee",grimoirelab,"April 1st 2018","April 1st 2021",11,60
"Matt Conley",grimoirelab,"July 1st 2018","January 1st 2022",9,60
"Stefano Galarraga",grimoirelab,"July 1st 2019","October 1st 2021",10,60
"learning-to-play",grimoirelab,"April 1st 2022","January 1st 2023",3,60
"Chuan He",grimoirelab,"January 1st 2020","January 1st 2023",12,59
"Rohit Santhanam",grimoirelab,"July 1st 2020","January 1st 2023",10,59
"Andrew Goodbody",grimoirelab,"January 1st 2021","January 1st 2023",7,58
"Igor Saprykin",grimoirelab,"April 1st 2018","July 1st 2019",4,58
"Michael Banfield",grimoirelab,"July 1st 2018","April 1st 2022",15,58
"Davide Libenzi",grimoirelab,"October 1st 2018","April 1st 2020",7,57
"Jianwei Xie",grimoirelab,"April 1st 2018","July 1st 2021",9,57
"Wenhao Jia",grimoirelab,"January 1st 2019","April 1st 2022",11,57
xiaohong1031,grimoirelab,"April 1st 2020","April 1st 2021",5,57
"Akshay Agrawal",grimoirelab,"April 1st 2018","July 1st 2018",2,56
"Itai Zukerman",grimoirelab,"April 1st 2021","October 1st 2022",7,56
"Jonathan Hseu",grimoirelab,"April 1st 2018","July 1st 2020",12,56
"Xingyu Long",grimoirelab,"April 1st 2020","July 1st 2020",3,56
amoitra,grimoirelab,"April 1st 2019","July 1st 2022",6,56
DEKHTIARJonathan,grimoirelab,"January 1st 2020","October 1st 2022",11,55
"Khanh LeViet",grimoirelab,"July 1st 2019","April 1st 2022",12,55
"Tamara Norman",grimoirelab,"October 1st 2018","April 1st 2020",6,55
"Taylor Robie",grimoirelab,"April 1st 2018","January 1st 2020",7,55
"Xiaoming (Jason) Cui",grimoirelab,"July 1st 2018","July 1st 2022",12,55
"Zhi An Ng",grimoirelab,"January 1st 2022","January 1st 2023",5,55
"Jonas Eschle 'Mayou36",grimoirelab,"January 1st 2021","October 1st 2021",4,54
"Sandeep Dasgupta",grimoirelab,"October 1st 2021","January 1st 2023",6,54
"Aden Grue",grimoirelab,"July 1st 2021","April 1st 2022",4,53
"Jeremy Meredith",grimoirelab,"January 1st 2021","January 1st 2023",9,53
"Mingming Liu",grimoirelab,"January 1st 2019","July 1st 2021",8,53
"Siju Samuel",grimoirelab,"October 1st 2018","July 1st 2019",4,53
"Sergii Khomenko",grimoirelab,"April 1st 2018","July 1st 2021",11,52
"Clive Verghese",grimoirelab,"July 1st 2022","January 1st 2023",3,51
"Gauri1 Deshpande",grimoirelab,"April 1st 2020","January 1st 2023",11,51
"Jonathan Chu",grimoirelab,"July 1st 2020","July 1st 2020",1,51
"Daniel Ellis",grimoirelab,"October 1st 2020","July 1st 2022",8,50
"Daniel Situnayake",grimoirelab,"July 1st 2019","April 1st 2021",6,50
"Eugene Kuznetsov",grimoirelab,"October 1st 2019","January 1st 2021",5,50
"Jie Sun",grimoirelab,"July 1st 2022","January 1st 2023",3,50
"Kazuaki Ishizaki",grimoirelab,"July 1st 2019","January 1st 2023",9,50
"Alexander Grund",grimoirelab,"October 1st 2019","January 1st 2023",9,49
"Artem Belevich",grimoirelab,"October 1st 2018","July 1st 2022",10,49
"Jingyue Wu",grimoirelab,"April 1st 2018","January 1st 2023",18,49
mbhuiyan,grimoirelab,"April 1st 2018","January 1st 2021",9,49
"Dmitri Gribenko",grimoirelab,"April 1st 2022","January 1st 2023",4,48
"Karmel Allison",grimoirelab,"April 1st 2018","July 1st 2020",10,48
"Srinivasan Narayanamoorthy",grimoirelab,"April 1st 2020","January 1st 2023",10,48
"Vojtech Bardiovsky",grimoirelab,"January 1st 2019","January 1st 2020",5,48
"Dong Lin",grimoirelab,"January 1st 2019","October 1st 2020",7,47
"Ian Langmore",grimoirelab,"April 1st 2018","October 1st 2022",11,47
"RJ Skerry-Ryan",grimoirelab,"April 1st 2019","April 1st 2022",10,47
"Rahul Huilgol",grimoirelab,"October 1st 2019","April 1st 2020",3,47
"rahul-kamat",grimoirelab,"April 1st 2020","July 1st 2020",2,47
"srinivasan.narayanamoorthy",grimoirelab,"January 1st 2019","January 1st 2020",5,47
"Denis Khalikov",grimoirelab,"January 1st 2019","October 1st 2019",4,46
"Goran Flegar",grimoirelab,"April 1st 2022","October 1st 2022",3,46
"Samuel Lee",grimoirelab,"July 1st 2022","January 1st 2023",3,46
"Yixing Fu",grimoirelab,"April 1st 2020","July 1st 2020",4,46
"Cesar Crusius",grimoirelab,"January 1st 2020","July 1st 2021",7,45
"Fiona Lang",grimoirelab,"October 1st 2022","January 1st 2023",2,45
"Youlong Cheng",grimoirelab,"April 1st 2018","January 1st 2020",8,45
"Adrian Garcia Badaracco",grimoirelab,"January 1st 2020","July 1st 2021",6,43
"Bas Aarts",grimoirelab,"April 1st 2019","April 1st 2021",9,43
"Benoit Steiner",grimoirelab,"April 1st 2018","April 1st 2018",2,43
"Doe Hyun Yoon",grimoirelab,"July 1st 2018","January 1st 2021",11,43
"Grzegorz Pawelczak",grimoirelab,"April 1st 2018","April 1st 2019",5,43
"Karthik Muthuraman",grimoirelab,"April 1st 2019","July 1st 2019",2,43
"Rohit Upadhyaya",grimoirelab,"April 1st 2021","January 1st 2023",8,43
"Sachin Prasad",grimoirelab,"January 1st 2022","January 1st 2023",5,43
"Matt Kreileder",grimoirelab,"July 1st 2022","January 1st 2023",3,42
"William D. Irons",grimoirelab,"April 1st 2018","January 1st 2020",8,42
"Xin Zhou",grimoirelab,"April 1st 2022","January 1st 2023",4,42
